maker	LG	cM	pval	p.adj	p.adg_lg
14354	1	202.2097535	0.37512	0.987572231	0.891888608
38017	1	202.4671893	0.31808	0.987572231	0.891888608
55122	1	202.7519481	0.5652	0.987572231	0.891888608
19247	1	202.7519482	0.22866	0.987572231	0.891888608
52025	1	202.7519483	0.80904	0.989835673	0.952052121
20743	1	202.7519484	0.42732	0.987572231	0.891888608
37838	1	203.0310224	0.21322	0.987572231	0.891888608
35743	1	203.3044396	0.48498	0.987572231	0.891888608
12960	1	203.5463243	0.2599	0.987572231	0.891888608
3385	1	203.5463244	0.87756	0.989835673	0.955474206
25424	1	203.7881582	0.70702	0.989835673	0.931635531
34987	1	204.0496461	0.61004	0.987572231	0.893957987
25404	1	204.0496462	0.70072	0.989835673	0.931635531
7866	1	204.0496463	0.17654	0.987572231	0.891888608
48541	1	204.0496464	0.97068	0.993799921	0.987635109
51357	1	204.0496465	0.41434	0.987572231	0.891888608
7653	1	204.3142987	0.85362	0.989835673	0.95481181
35112	1	204.3142988	0.19086	0.987572231	0.891888608
17358	1	204.5735923	0.43728	0.987572231	0.891888608
47994	1	204.5735924	0.39122	0.987572231	0.891888608
30028	1	204.5735926	0.19982	0.987572231	0.891888608
55411	1	205.0974206	0.41354	0.987572231	0.891888608
41481	1	205.0974207	0.44484	0.987572231	0.891888608
10503	1	205.0974208	0.48894	0.987572231	0.891888608
45324	1	205.0974209	0.07136	0.987572231	0.891888608
3152	1	205.097421	0.9391	0.9908767	0.9763632
5722	1	205.0974211	0.2294	0.987572231	0.891888608
7839	1	205.3480107	0.43254	0.987572231	0.891888608
36680	1	205.3480108	0.06446	0.987572231	0.891888608
33898	1	205.3480109	0.3955	0.987572231	0.891888608
18807	1	205.8634939	0.3055	0.987572231	0.891888608
54553	1	205.863494	0.1499	0.987572231	0.891888608
52932	1	205.8634943	0.66966	0.988032648	0.912460702
18208	1	206.1237518	0.1408	0.987572231	0.891888608
4457	1	206.123752	0.57608	0.987572231	0.891888608
29641	1	206.3866454	0.45362	0.987572231	0.891888608
11360	1	206.3866456	0.25582	0.987572231	0.891888608
40526	1	206.3866457	0.10122	0.987572231	0.891888608
46351	1	206.3866529	0.47872	0.987572231	0.891888608
40822	1	206.644067	0.09276	0.987572231	0.891888608
24837	1	206.6440671	0.54764	0.987572231	0.891888608
11484	1	206.6440672	0.09078	0.987572231	0.891888608
35717	1	206.6440673	0.31214	0.987572231	0.891888608
5389	1	206.6440674	0.06706	0.987572231	0.891888608
36109	1	206.6440676	0.8701	0.989835673	0.955474206
22278	1	206.6440678	0.3199	0.987572231	0.891888608
35889	1	206.6440679	0.79374	0.989835673	0.952052121
48079	1	206.8868577	0.15822	0.987572231	0.891888608
21793	1	207.1289836	0.53274	0.987572231	0.891888608
4100	1	207.4192363	0.25706	0.987572231	0.891888608
24771	1	208.3868548	0.71044	0.989835673	0.931635531
16898	1	208.6729541	0.13996	0.987572231	0.891888608
53798	1	208.6729542	0.13048	0.987572231	0.891888608
25513	1	208.6729544	0.4803	0.987572231	0.891888608
15209	1	208.6729545	0.89754	0.989835673	0.968179722
54545	1	208.6729546	0.75104	0.989835673	0.935787807
10140	1	208.6729547	0.1668	0.987572231	0.891888608
13668	1	209.4420675	0.48252	0.987572231	0.891888608
8597	1	209.4420676	0.8417	0.989835673	0.95481181
37084	1	210.488054	0.24528	0.987572231	0.891888608
54519	1	210.7492171	0.18982	0.987572231	0.891888608
44290	1	210.7492172	0.3754	0.987572231	0.891888608
54540	1	210.7492173	0.62218	0.987572231	0.900421988
15103	1	210.7492174	0.76588	0.989835673	0.947952487
1096	1	210.7492175	0.46866	0.987572231	0.891888608
40527	1	210.7492176	0.5973	0.987572231	0.891888608
27441	1	210.7492177	0.92446	0.989987989	0.971599552
18543	1	211.0093879	0.5605	0.987572231	0.891888608
31827	1	211.009388	0.7139	0.989835673	0.931635531
1224	1	211.0093881	0.79342	0.989835673	0.952052121
32872	1	211.0093882	0.4832	0.987572231	0.891888608
50307	1	211.0093883	0.38732	0.987572231	0.891888608
52331	1	211.0093884	0.3635	0.987572231	0.891888608
35053	1	211.2700418	0.24218	0.987572231	0.891888608
49824	1	211.270042	0.34048	0.987572231	0.891888608
846	1	211.5280541	0.06552	0.987572231	0.891888608
42809	1	211.5280542	0.143	0.987572231	0.891888608
4280	1	211.7966472	0.60372	0.987572231	0.891888608
38838	1	211.7966473	0.16998	0.987572231	0.891888608
11174	1	211.7966474	0.12142	0.987572231	0.891888608
47587	1	211.7966475	0.3348	0.987572231	0.891888608
43494	1	213.9423602	0.84748	0.989835673	0.95481181
28254	1	213.9423603	0.79874	0.989835673	0.952052121
49595	1	214.7312785	0.80656	0.989835673	0.952052121
87	1	214.7312786	0.09472	0.987572231	0.891888608
43957	1	214.7312788	0.26578	0.987572231	0.891888608
40256	1	214.731279	0.36772	0.987572231	0.891888608
53666	1	214.7312791	0.44352	0.987572231	0.891888608
9091	1	214.7312792	0.1215	0.987572231	0.891888608
27485	1	214.7312793	0.5545	0.987572231	0.891888608
8107	1	214.7312794	0.29262	0.987572231	0.891888608
39192	1	214.7312795	0.6552	0.987572231	0.912460702
8110	1	214.7312796	0.18284	0.987572231	0.891888608
29588	1	214.9935493	0.96494	0.993586114	0.986100965
9119	1	214.9935494	0.59654	0.987572231	0.891888608
21596	1	214.9936538	0.28434	0.987572231	0.891888608
7797	1	215.0483274	0.56398	0.987572231	0.891888608
31042	1	215.3097023	0.28644	0.987572231	0.891888608
13448	1	216.2138649	0.56416	0.987572231	0.891888608
38862	1	216.8507021	0.36898	0.987572231	0.891888608
17717	1	216.8507022	0.54888	0.987572231	0.891888608
53057	1	216.8507023	0.5253	0.987572231	0.891888608
24592	1	217.130418	0.25364	0.987572231	0.891888608
52654	1	217.1304181	0.85176	0.989835673	0.95481181
28557	1	219.3509338	0.44206	0.987572231	0.891888608
54320	1	219.3509339	0.3785	0.987572231	0.891888608
51967	1	219.6200612	0.5288	0.987572231	0.891888608
12686	1	220.2875649	0.59948	0.987572231	0.891888608
46016	1	223.0151693	0.29354	0.987572231	0.891888608
6881	1	223.885234	0.25388	0.987572231	0.891888608
46905	1	227.2333033	0.12986	0.987572231	0.891888608
49020	1	227.5610361	0.22	0.987572231	0.891888608
30528	1	229.6016081	0.00464	0.976486875	0.301735
15544	1	230.2812061	0.07036	0.987572231	0.891888608
24575	1	231.0642919	0.19536	0.987572231	0.891888608
18920	1	231.5905355	0.62148	0.987572231	0.900421988
46315	1	232.7338032	0.49822	0.987572231	0.891888608
10636	1	234.9056874	0.21258	0.987572231	0.891888608
7928	1	236.8314179	0.32512	0.987572231	0.891888608
24347	1	240.3346241	0.28012	0.987572231	0.891888608
1492	1	240.3346242	0.19572	0.987572231	0.891888608
29970	1	241.887973	0.72868	0.989835673	0.93420337
12204	1	243.7704836	0.32884	0.987572231	0.891888608
5383	1	245.3737202	0.35694	0.987572231	0.891888608
10659	1	250.5351755	0.2197	0.987572231	0.891888608
34210	1	251.2737202	0.66952	0.988032648	0.912460702
42642	1	251.8704629	0.48982	0.987572231	0.891888608
41556	1	252.1345103	0.804	0.989835673	0.952052121
51631	1	252.1345104	0.49374	0.987572231	0.891888608
29081	1	252.1345105	0.73242	0.989835673	0.93420337
486	1	253.2404171	0.53334	0.987572231	0.891888608
51028	1	259.9541236	0.58106	0.987572231	0.891888608
52359	1	259.9541238	0.83882	0.989835673	0.95481181
6586	1	260.4668101	0.60368	0.987572231	0.891888608
221	1	262.9095779	0.84246	0.989835673	0.95481181
42644	1	263.6317023	0.73696	0.989835673	0.93420337
31096	1	264.8790804	0.6048	0.987572231	0.891888608
39068	1	264.8790806	0.73176	0.989835673	0.93420337
5877	1	264.8790807	0.65054	0.987572231	0.912460702
20075	1	264.8790808	0.64826	0.987572231	0.912460702
43425	1	264.9778345	0.69936	0.989835673	0.931635531
53589	1	265.2563953	0.66798	0.987572231	0.912460702
26475	1	265.2563954	0.74646	0.989835673	0.935156774
11120	1	265.2563955	0.66656	0.987572231	0.912460702
4705	2	19.21789518	0.71462	0.989835673	0.994094394
52017	2	32.52924384	0.91296	0.989835673	0.994094394
17610	2	32.52924394	0.93574	0.990307581	0.994094394
48624	2	32.52924404	0.74554	0.989835673	0.994094394
28460	2	32.52924414	0.83468	0.989835673	0.994094394
5620	2	32.52924444	0.54234	0.987572231	0.994094394
46895	2	32.52924464	0.99564	0.99822751	0.999397132
19368	2	32.52924474	0.71968	0.989835673	0.994094394
33919	2	32.52924484	0.36062	0.987572231	0.994094394
52987	2	32.78964449	0.85532	0.989835673	0.994094394
7143	2	32.78964469	0.81234	0.989835673	0.994094394
40131	2	32.78964479	0.87744	0.989835673	0.994094394
26368	2	32.78964489	0.6483	0.987572231	0.994094394
14874	2	35.21880163	0.69064	0.989835673	0.994094394
6678	2	36.2734904	0.91834	0.989835673	0.994094394
33731	2	40.74497493	0.83672	0.989835673	0.994094394
51662	2	40.74497503	0.40012	0.987572231	0.994094394
14993	2	41.38054218	0.8706	0.989835673	0.994094394
21819	2	41.38054228	0.70614	0.989835673	0.994094394
48242	2	42.68402252	0.13688	0.987572231	0.994094394
46314	2	45.7409383	0.98662	0.995143165	0.994094394
23516	2	50.84776335	0.6853	0.989835673	0.994094394
35938	2	51.71808226	0.8096	0.989835673	0.994094394
18674	2	51.99747368	0.64666	0.987572231	0.994094394
35521	2	51.99747378	0.72094	0.989835673	0.994094394
32657	2	52.59713197	0.20534	0.987572231	0.994094394
17637	2	56.27262726	0.90114	0.989835673	0.994094394
42628	2	57.17742159	0.87256	0.989835673	0.994094394
38672	2	57.56910804	0.84836	0.989835673	0.994094394
18508	2	57.92652207	0.39074	0.987572231	0.994094394
35000	2	58.90488921	0.83002	0.989835673	0.994094394
10197	2	58.90488931	0.86648	0.989835673	0.994094394
11929	2	60.40348651	0.8351	0.989835673	0.994094394
26909	2	60.95940667	0.78308	0.989835673	0.994094394
52829	2	61.4389769	0.98632	0.995143165	0.994094394
28410	2	63.44376195	0.92342	0.989835673	0.994094394
17719	2	63.44376205	0.83578	0.989835673	0.994094394
16781	2	64.70695935	0.92332	0.989835673	0.994094394
9141	2	65.00341724	0.89058	0.989835673	0.994094394
49743	2	65.00341734	0.95868	0.993325742	0.994094394
18365	2	65.30940491	0.92864	0.990136209	0.994094394
24562	2	65.30940501	0.7609	0.989835673	0.994094394
53890	2	65.55614488	0.97552	0.994460449	0.994094394
55305	2	66.12750264	0.9358	0.990307581	0.994094394
23533	2	67.51979313	0.78574	0.989835673	0.994094394
17285	2	68.38533607	0.97258	0.993942025	0.994094394
6462	2	69.05331927	0.91384	0.989835673	0.994094394
5570	2	69.57794615	0.29402	0.987572231	0.994094394
40104	2	69.57794625	0.8613	0.989835673	0.994094394
387	2	70.49879483	0.48066	0.987572231	0.994094394
1628	2	70.49879493	0.63168	0.987572231	0.994094394
54895	2	71.4487791	0.62874	0.987572231	0.994094394
39389	2	71.74797044	0.78112	0.989835673	0.994094394
52447	2	72.25802586	0.81382	0.989835673	0.994094394
3812	2	73.89586078	0.66702	0.987572231	0.994094394
23519	2	74.42009337	0.70054	0.989835673	0.994094394
20808	2	74.42009347	0.87104	0.989835673	0.994094394
10699	2	75.21736829	0.65402	0.987572231	0.994094394
42084	2	75.48589285	0.95138	0.993325742	0.994094394
762	2	75.48589295	0.68238	0.989835673	0.994094394
50416	2	75.48589305	0.668	0.987572231	0.994094394
681	2	75.5161498	0.77238	0.989835673	0.994094394
32064	2	75.80841639	0.99962	0.999794698	0.99962
34106	2	76.12525378	0.87548	0.989835673	0.994094394
42243	2	78.07350388	0.9569	0.993325742	0.994094394
40217	2	79.12767234	0.8874	0.989835673	0.994094394
30893	2	79.12767244	0.80752	0.989835673	0.994094394
821	2	79.4283845	0.92312	0.989835673	0.994094394
24834	2	79.4283846	0.66658	0.987572231	0.994094394
8905	2	82.11518103	0.9595	0.993325742	0.994094394
3956	2	82.36618295	0.71778	0.989835673	0.994094394
21288	2	82.36618305	0.34864	0.987572231	0.994094394
47723	2	82.36618315	0.9309	0.990136209	0.994094394
19643	2	82.72906995	0.6727	0.989835673	0.994094394
52952	2	82.72907005	0.62252	0.987572231	0.994094394
54318	2	82.72907015	0.82004	0.989835673	0.994094394
13266	2	83.24540236	0.57198	0.987572231	0.994094394
19341	2	83.24540246	0.72868	0.989835673	0.994094394
43188	2	83.5718693	0.92784	0.990136209	0.994094394
35404	2	83.5718694	0.96434	0.993325742	0.994094394
38617	2	83.5718695	0.56244	0.987572231	0.994094394
34683	2	84.55859192	0.91382	0.989835673	0.994094394
26072	2	84.55859202	0.34854	0.987572231	0.994094394
33772	2	84.55859212	0.86732	0.989835673	0.994094394
25243	2	84.88740061	0.82074	0.989835673	0.994094394
43964	2	84.88740071	0.6385	0.987572231	0.994094394
13560	2	85.48480621	0.61406	0.987572231	0.994094394
38141	2	86.0140517	0.65996	0.987572231	0.994094394
2987	2	86.0140519	0.92738	0.990136209	0.994094394
39728	2	86.014052	0.66198	0.987572231	0.994094394
47027	2	86.0140522	0.86108	0.989835673	0.994094394
43316	2	86.0140523	0.63424	0.987572231	0.994094394
17936	2	86.64601978	0.58674	0.987572231	0.994094394
35310	2	87.60332977	0.23314	0.987572231	0.994094394
3695	2	87.60332997	0.5464	0.987572231	0.994094394
40941	2	87.86444952	0.46494	0.987572231	0.994094394
27283	2	87.86444962	0.86644	0.989835673	0.994094394
6499	2	87.86444972	0.73594	0.989835673	0.994094394
26328	2	88.25450138	0.89654	0.989835673	0.994094394
43530	2	88.64364434	0.47384	0.987572231	0.994094394
33557	2	88.64364444	0.57704	0.987572231	0.994094394
36524	2	88.64364454	0.45714	0.987572231	0.994094394
18502	2	88.89833396	0.57688	0.987572231	0.994094394
23171	2	88.89833406	0.89116	0.989835673	0.994094394
42673	2	89.41944871	0.28242	0.987572231	0.994094394
30779	2	89.41944891	0.97514	0.994427338	0.994094394
45448	2	89.41944901	0.31474	0.987572231	0.994094394
47913	2	89.41944911	0.8038	0.989835673	0.994094394
38592	2	90.34381971	0.66078	0.987572231	0.994094394
7414	2	90.63980122	0.6387	0.987572231	0.994094394
3738	2	91.25738173	0.80064	0.989835673	0.994094394
39443	2	91.25738193	0.13502	0.987572231	0.994094394
50668	2	91.51832971	0.45254	0.987572231	0.994094394
26323	2	91.77976513	0.83456	0.989835673	0.994094394
45928	2	91.77976523	0.37456	0.987572231	0.994094394
7161	2	91.77976533	0.49956	0.987572231	0.994094394
10025	2	92.04190589	0.70354	0.989835673	0.994094394
9671	2	92.30819578	0.85522	0.989835673	0.994094394
53566	2	92.33411944	0.90286	0.989835673	0.994094394
53431	2	92.33411954	0.60524	0.987572231	0.994094394
52079	2	94.17078034	0.58576	0.987572231	0.994094394
51553	2	95.5598928	0.41436	0.987572231	0.994094394
33034	2	95.89716075	0.62718	0.987572231	0.994094394
17778	2	95.89716105	0.60936	0.987572231	0.994094394
6693	2	95.89716115	0.78266	0.989835673	0.994094394
35485	2	95.89716125	0.86336	0.989835673	0.994094394
50493	2	96.69717103	0.32944	0.987572231	0.994094394
31013	2	96.69717113	0.42456	0.987572231	0.994094394
10762	2	96.95717634	0.7761	0.989835673	0.994094394
41115	2	96.95717644	0.93318	0.990136209	0.994094394
32189	2	97.48231133	0.07884	0.987572231	0.994094394
26712	2	98.00235519	0.87458	0.989835673	0.994094394
14261	2	98.00235529	0.97072	0.993799921	0.994094394
33101	2	98.00235539	0.81374	0.989835673	0.994094394
37600	2	98.70677584	0.84734	0.989835673	0.994094394
21582	2	99.04752071	0.53806	0.987572231	0.994094394
17887	2	100.2246936	0.64088	0.987572231	0.994094394
45630	2	100.2246937	0.91434	0.989835673	0.994094394
23353	2	101.2779737	0.84596	0.989835673	0.994094394
53273	2	101.5864747	0.88254	0.989835673	0.994094394
11978	2	102.5955988	0.52848	0.987572231	0.994094394
7360	2	145.9437174	0.72728	0.989835673	0.994094394
10226	2	146.8014825	0.85824	0.989835673	0.994094394
44188	2	146.8014826	0.42646	0.987572231	0.994094394
19395	2	147.0626946	0.36936	0.987572231	0.994094394
17564	2	147.0626947	0.83114	0.989835673	0.994094394
50972	2	147.0626948	0.93506	0.990307581	0.994094394
12732	2	147.0626949	0.81986	0.989835673	0.994094394
38563	2	148.1186101	0.54878	0.987572231	0.994094394
14319	2	148.1186102	0.95082	0.993325742	0.994094394
43735	2	148.6470695	0.9042	0.989835673	0.994094394
42068	2	149.1713041	0.56852	0.987572231	0.994094394
13957	2	149.1713042	0.37138	0.987572231	0.994094394
42699	2	149.1713043	0.85464	0.989835673	0.994094394
17341	2	149.1713044	0.95138	0.993325742	0.994094394
21342	2	149.1713045	0.42724	0.987572231	0.994094394
47308	2	149.9583013	0.3076	0.987572231	0.994094394
38057	2	149.9583014	0.7558	0.989835673	0.994094394
48790	2	149.9583015	0.78076	0.989835673	0.994094394
7483	2	151.1436018	0.90606	0.989835673	0.994094394
5298	2	151.4391716	0.87368	0.989835673	0.994094394
39562	2	151.4391717	0.984	0.995143165	0.994094394
983	2	152.3217951	0.5316	0.987572231	0.994094394
15846	2	152.3217952	0.68848	0.989835673	0.994094394
24806	2	152.3217953	0.86106	0.989835673	0.994094394
44636	2	152.3217954	0.6925	0.989835673	0.994094394
18924	2	152.8513068	0.64672	0.987572231	0.994094394
37933	2	152.851307	0.74926	0.989835673	0.994094394
42154	2	153.6515247	0.82532	0.989835673	0.994094394
22425	2	153.6515248	0.33762	0.987572231	0.994094394
5937	2	154.4402383	0.07666	0.987572231	0.994094394
31892	2	154.4402384	0.31784	0.987572231	0.994094394
44088	2	154.4402385	0.90122	0.989835673	0.994094394
13685	2	155.2349818	0.40486	0.987572231	0.994094394
21413	2	155.2349819	0.91034	0.989835673	0.994094394
32831	2	155.4948032	0.66616	0.987572231	0.994094394
10573	2	156.8405844	0.5028	0.987572231	0.994094394
31804	2	156.8405846	0.47656	0.987572231	0.994094394
33700	2	157.6290998	0.78398	0.989835673	0.994094394
47317	2	157.6290999	0.8363	0.989835673	0.994094394
32489	2	157.6291	0.8986	0.989835673	0.994094394
27093	2	158.4155059	0.60336	0.987572231	0.994094394
35799	2	158.4155061	0.91034	0.989835673	0.994094394
36944	2	158.4155062	0.72736	0.989835673	0.994094394
20038	2	158.4155063	0.7405	0.989835673	0.994094394
32740	2	158.6768799	0.61932	0.987572231	0.994094394
28276	2	158.9383085	0.45068	0.987572231	0.994094394
33694	2	158.9383086	0.9841	0.995143165	0.994094394
33195	2	158.9383087	0.64914	0.987572231	0.994094394
28725	2	158.9383088	0.5484	0.987572231	0.994094394
20881	2	159.759172	0.98268	0.995083462	0.994094394
10718	2	161.1146576	0.96614	0.993618088	0.994094394
46420	2	162.4510148	0.36012	0.987572231	0.994094394
52863	2	162.7396555	0.3047	0.987572231	0.994094394
7457	2	163.6387168	0.73234	0.989835673	0.994094394
21576	2	163.6387169	0.46242	0.987572231	0.994094394
26364	2	164.5670237	0.74246	0.989835673	0.994094394
3833	2	164.5670238	0.8682	0.989835673	0.994094394
8590	2	164.8230084	0.63526	0.987572231	0.994094394
14986	2	164.8230085	0.98082	0.994696939	0.994094394
35726	2	165.444849	0.7371	0.989835673	0.994094394
29647	2	166.6730117	0.906	0.989835673	0.994094394
49485	2	167.0749415	0.96352	0.993325742	0.994094394
11683	2	167.4722784	0.85658	0.989835673	0.994094394
11989	2	167.7914213	0.89928	0.989835673	0.994094394
46971	2	169.4218437	0.39422	0.987572231	0.994094394
3408	2	169.7146784	0.68132	0.989835673	0.994094394
2826	2	169.7146785	0.53716	0.987572231	0.994094394
4013	2	170.2431006	0.61172	0.987572231	0.994094394
44621	2	171.935789	0.38756	0.987572231	0.994094394
7293	2	172.8690876	0.2363	0.987572231	0.994094394
50136	2	172.8690877	0.37174	0.987572231	0.994094394
11490	2	172.8690878	0.41894	0.987572231	0.994094394
6159	2	173.2200115	0.34592	0.987572231	0.994094394
27202	2	173.2200116	0.50214	0.987572231	0.994094394
30901	2	173.9323057	0.78602	0.989835673	0.994094394
4721	2	175.1270231	0.8306	0.989835673	0.994094394
51880	2	176.6608486	0.6489	0.987572231	0.994094394
37523	2	176.6618955	0.49916	0.987572231	0.994094394
28163	2	177.719579	0.04064	0.987572231	0.994094394
26185	2	177.7195791	0.62422	0.987572231	0.994094394
10946	2	177.7195792	0.26548	0.987572231	0.994094394
30510	2	177.9813149	0.04136	0.987572231	0.994094394
17172	2	177.981315	0.07696	0.987572231	0.994094394
27895	2	177.9813151	0.45566	0.987572231	0.994094394
250	2	179.9783276	0.7894	0.989835673	0.994094394
16430	2	179.9783277	0.00822	0.987572231	0.994094394
13872	2	179.9783278	0.04642	0.987572231	0.994094394
51049	2	181.027126	0.2791	0.987572231	0.994094394
14016	2	181.3668275	0.42034	0.987572231	0.994094394
55459	2	181.3668276	0.61316	0.987572231	0.994094394
33330	2	181.6794363	0.60126	0.987572231	0.994094394
10337	2	181.6794364	0.54836	0.987572231	0.994094394
35116	2	181.6794366	0.47484	0.987572231	0.994094394
50352	2	181.6794368	0.8289	0.989835673	0.994094394
48435	2	182.7440935	0.06284	0.987572231	0.994094394
42775	2	183.0169714	0.03758	0.987572231	0.994094394
5211	2	183.0169715	0.07544	0.987572231	0.994094394
2279	2	183.2475338	0.23654	0.987572231	0.994094394
23988	2	183.5242471	0.3431	0.987572231	0.994094394
40953	2	202.4003306	0.47808	0.987572231	0.994094394
33443	2	203.201919	0.39186	0.987572231	0.994094394
42248	2	203.4293515	0.42896	0.987572231	0.994094394
44529	2	203.6955709	0.3961	0.987572231	0.994094394
40850	2	203.695571	0.54452	0.987572231	0.994094394
20459	2	203.9715096	0.70146	0.989835673	0.994094394
23491	2	203.9715097	0.21392	0.987572231	0.994094394
7404	2	204.2623319	0.4523	0.987572231	0.994094394
22086	2	204.262332	0.64568	0.987572231	0.994094394
29581	2	204.8921104	0.32548	0.987572231	0.994094394
52581	2	221.8386818	0.54096	0.987572231	0.994094394
28693	2	243.0211167	0.65972	0.987572231	0.994094394
26933	2	247.3083507	0.6412	0.987572231	0.994094394
32349	2	251.7968527	0.59826	0.987572231	0.994094394
50688	2	252.0661825	0.56132	0.987572231	0.994094394
9118	2	253.4500907	0.43644	0.987572231	0.994094394
29975	2	257.0069662	0.12992	0.987572231	0.994094394
55298	2	259.3536834	0.18244	0.987572231	0.994094394
15847	2	261.3887463	0.20198	0.987572231	0.994094394
13302	2	277.8261209	0.64368	0.987572231	0.994094394
38244	2	280.1871347	0.91164	0.989835673	0.994094394
30478	2	280.608925	0.65304	0.987572231	0.994094394
23368	2	280.6089251	0.52046	0.987572231	0.994094394
35257	2	281.409474	0.62398	0.987572231	0.994094394
12825	2	281.4094741	0.74042	0.989835673	0.994094394
40118	2	281.4094742	0.96206	0.993325742	0.994094394
27531	3	0.530897605	0.59976	0.987572231	0.853776
