Marker	LG	cM	neg_log.qval.
7866	1	204.0496463	0
48541	1	204.0496464	0
51357	1	204.0496465	0
7653	1	204.3142987	0
35112	1	204.3142988	0
17358	1	204.5735923	0
47994	1	204.5735924	0
30028	1	204.5735926	0
55411	1	205.0974206	0
41481	1	205.0974207	0
10503	1	205.0974208	0
45324	1	205.0974209	0
3152	1	205.097421	0
5722	1	205.0974211	0
7839	1	205.3480107	0
36680	1	205.3480108	0
33898	1	205.3480109	0
18807	1	205.8634939	0
54553	1	205.863494	0
52932	1	205.8634943	0
18208	1	206.1237518	0
4457	1	206.123752	0
29641	1	206.3866454	0
11360	1	206.3866456	0
40526	1	206.3866457	0
46351	1	206.3866529	0
40822	1	206.644067	0
24837	1	206.6440671	0
11484	1	206.6440672	0
35717	1	206.6440673	0
5389	1	206.6440674	0
36109	1	206.6440676	0
22278	1	206.6440678	0
35889	1	206.6440679	0
48079	1	206.8868577	0
21793	1	207.1289836	0
4100	1	207.4192363	0
24771	1	208.3868548	0
16898	1	208.6729541	0
53798	1	208.6729542	0
25513	1	208.6729544	0
15209	1	208.6729545	0
54545	1	208.6729546	0
10140	1	208.6729547	0
13668	1	209.4420675	0
8597	1	209.4420676	0
37084	1	210.488054	0
54519	1	210.7492171	0
44290	1	210.7492172	0
54540	1	210.7492173	0
15103	1	210.7492174	0
1096	1	210.7492175	0
40527	1	210.7492176	0
27441	1	210.7492177	0
18543	1	211.0093879	0
31827	1	211.009388	0
1224	1	211.0093881	0
32872	1	211.0093882	0
50307	1	211.0093883	0
52331	1	211.0093884	0
35053	1	211.2700418	0
49824	1	211.270042	0
846	1	211.5280541	0
42809	1	211.5280542	0
4280	1	211.7966472	0
38838	1	211.7966473	0
11174	1	211.7966474	0
47587	1	211.7966475	0
43494	1	213.9423602	0
28254	1	213.9423603	0
49595	1	214.7312785	0
87	1	214.7312786	0
43957	1	214.7312788	0
40256	1	214.731279	0
53666	1	214.7312791	0
9091	1	214.7312792	0
27485	1	214.7312793	0
8107	1	214.7312794	0
39192	1	214.7312795	0
8110	1	214.7312796	0
29588	1	214.9935493	0
9119	1	214.9935494	0
21596	1	214.9936538	0
7797	1	215.0483274	0
31042	1	215.3097023	0
13448	1	216.2138649	0
38862	1	216.8507021	0
17717	1	216.8507022	0
53057	1	216.8507023	0
24592	1	217.130418	0
52654	1	217.1304181	0
28557	1	219.3509338	0
54320	1	219.3509339	0
51967	1	219.6200612	0
12686	1	220.2875649	0
46016	1	223.0151693	0
6881	1	223.885234	0
46905	1	227.2333033	0
49020	1	227.5610361	0
30528	1	229.6016081	0.753557113
15544	1	230.2812061	0
24575	1	231.0642919	0
18920	1	231.5905355	0
46315	1	232.7338032	0
10636	1	234.9056874	0
7928	1	236.8314179	0
24347	1	240.3346241	0
1492	1	240.3346242	0
29970	1	241.887973	0
12204	1	243.7704836	0
5383	1	245.3737202	0
10659	1	250.5351755	0
34210	1	251.2737202	0
42642	1	251.8704629	0
41556	1	252.1345103	0
51631	1	252.1345104	0
29081	1	252.1345105	0
486	1	253.2404171	0
51028	1	259.9541236	0
52359	1	259.9541238	0
6586	1	260.4668101	0
221	1	262.9095779	0
42644	1	263.6317023	0
31096	1	264.8790804	0
39068	1	264.8790806	0
5877	1	264.8790807	0
20075	1	264.8790808	0
43425	1	264.9778345	0
53589	1	265.2563953	0
26475	1	265.2563954	0
11120	1	265.2563955	0
4705	2	19.21789518	0
52017	2	32.52924384	0
17610	2	32.52924394	0
48624	2	32.52924404	0
28460	2	32.52924414	0
5620	2	32.52924444	0
46895	2	32.52924464	0
19368	2	32.52924474	0
33919	2	32.52924484	0
52987	2	32.78964449	0
7143	2	32.78964469	0
40131	2	32.78964479	0
26368	2	32.78964489	0
14874	2	35.21880163	0
6678	2	36.2734904	0
33731	2	40.74497493	0
51662	2	40.74497503	0
14993	2	41.38054218	0
21819	2	41.38054228	0
48242	2	42.68402252	0
46314	2	45.7409383	0
23516	2	50.84776335	0
35938	2	51.71808226	0
18674	2	51.99747368	0
35521	2	51.99747378	0
32657	2	52.59713197	0
17637	2	56.27262726	0
42628	2	57.17742159	0
38672	2	57.56910804	0
18508	2	57.92652207	0
35000	2	58.90488921	0
10197	2	58.90488931	0
11929	2	60.40348651	0
26909	2	60.95940667	0
52829	2	61.4389769	0
28410	2	63.44376195	0
17719	2	63.44376205	0
16781	2	64.70695935	0
9141	2	65.00341724	0
49743	2	65.00341734	0
18365	2	65.30940491	0
24562	2	65.30940501	0
53890	2	65.55614488	0
55305	2	66.12750264	0
23533	2	67.51979313	0
17285	2	68.38533607	0
6462	2	69.05331927	0
5570	2	69.57794615	0
40104	2	69.57794625	0
387	2	70.49879483	0
1628	2	70.49879493	0
54895	2	71.4487791	0
39389	2	71.74797044	0
52447	2	72.25802586	0
3812	2	73.89586078	0
23519	2	74.42009337	0
20808	2	74.42009347	0
10699	2	75.21736829	0
42084	2	75.48589285	0
762	2	75.48589295	0
50416	2	75.48589305	0
681	2	75.5161498	0
32064	2	75.80841639	0
34106	2	76.12525378	0
42243	2	78.07350388	0
40217	2	79.12767234	0
30893	2	79.12767244	0
821	2	79.4283845	0
24834	2	79.4283846	0
8905	2	82.11518103	0
3956	2	82.36618295	0
21288	2	82.36618305	0
47723	2	82.36618315	0
19643	2	82.72906995	0
52952	2	82.72907005	0
54318	2	82.72907015	0
13266	2	83.24540236	0
19341	2	83.24540246	0
43188	2	83.5718693	0
35404	2	83.5718694	0
38617	2	83.5718695	0
34683	2	84.55859192	0
26072	2	84.55859202	0
33772	2	84.55859212	0
25243	2	84.88740061	0
43964	2	84.88740071	0
13560	2	85.48480621	0
38141	2	86.0140517	0
2987	2	86.0140519	0
39728	2	86.014052	0
47027	2	86.0140522	0
43316	2	86.0140523	0
17936	2	86.64601978	0
35310	2	87.60332977	0
3695	2	87.60332997	0
40941	2	87.86444952	0
27283	2	87.86444962	0
6499	2	87.86444972	0
26328	2	88.25450138	0
43530	2	88.64364434	0
33557	2	88.64364444	0
36524	2	88.64364454	0
18502	2	88.89833396	0
23171	2	88.89833406	0
42673	2	89.41944871	0
30779	2	89.41944891	0
45448	2	89.41944901	0
47913	2	89.41944911	0
38592	2	90.34381971	0
7414	2	90.63980122	0
3738	2	91.25738173	0
39443	2	91.25738193	0
50668	2	91.51832971	0
26323	2	91.77976513	0
45928	2	91.77976523	0
7161	2	91.77976533	0
10025	2	92.04190589	0
9671	2	92.30819578	0
53566	2	92.33411944	0
53431	2	92.33411954	0
52079	2	94.17078034	0
51553	2	95.5598928	0
33034	2	95.89716075	0
17778	2	95.89716105	0
6693	2	95.89716115	0
35485	2	95.89716125	0
50493	2	96.69717103	0
31013	2	96.69717113	0
10762	2	96.95717634	0
41115	2	96.95717644	0
32189	2	97.48231133	0
26712	2	98.00235519	0
14261	2	98.00235529	0
33101	2	98.00235539	0
37600	2	98.70677584	0
21582	2	99.04752071	0
17887	2	100.2246936	0
45630	2	100.2246937	0
23353	2	101.2779737	0
53273	2	101.5864747	0
11978	2	102.5955988	0
7360	2	145.9437174	0
10226	2	146.8014825	0
44188	2	146.8014826	0
19395	2	147.0626946	0
17564	2	147.0626947	0
50972	2	147.0626948	0
12732	2	147.0626949	0
38563	2	148.1186101	0
14319	2	148.1186102	0
43735	2	148.6470695	0
42068	2	149.1713041	0
13957	2	149.1713042	0
42699	2	149.1713043	0
17341	2	149.1713044	0
21342	2	149.1713045	0
47308	2	149.9583013	0
38057	2	149.9583014	0
48790	2	149.9583015	0
7483	2	151.1436018	0
5298	2	151.4391716	0
39562	2	151.4391717	0
983	2	152.3217951	0
15846	2	152.3217952	0
24806	2	152.3217953	0
44636	2	152.3217954	0
18924	2	152.8513068	0
37933	2	152.851307	0
42154	2	153.6515247	0
22425	2	153.6515248	0
5937	2	154.4402383	0
31892	2	154.4402384	0
44088	2	154.4402385	0
13685	2	155.2349818	0
21413	2	155.2349819	0
32831	2	155.4948032	0
10573	2	156.8405844	0
31804	2	156.8405846	0
33700	2	157.6290998	0
47317	2	157.6290999	0
32489	2	157.6291	0
27093	2	158.4155059	0
35799	2	158.4155061	0
36944	2	158.4155062	0
20038	2	158.4155063	0
32740	2	158.6768799	0
28276	2	158.9383085	0
33694	2	158.9383086	0
33195	2	158.9383087	0
28725	2	158.9383088	0
20881	2	159.759172	0
10718	2	161.1146576	0
46420	2	162.4510148	0
52863	2	162.7396555	0
7457	2	163.6387168	0
21576	2	163.6387169	0
26364	2	164.5670237	0
3833	2	164.5670238	0
8590	2	164.8230084	0
14986	2	164.8230085	0
35726	2	165.444849	0
29647	2	166.6730117	0
49485	2	167.0749415	0
11683	2	167.4722784	0
11989	2	167.7914213	0
46971	2	169.4218437	0
3408	2	169.7146784	0
2826	2	169.7146785	0
4013	2	170.2431006	0
44621	2	171.935789	0
7293	2	172.8690876	0
50136	2	172.8690877	0
11490	2	172.8690878	0
6159	2	173.2200115	0
27202	2	173.2200116	0
30901	2	173.9323057	0
4721	2	175.1270231	0
51880	2	176.6608486	0
37523	2	176.6618955	0
28163	2	177.719579	0.023724762
26185	2	177.7195791	0
10946	2	177.7195792	0
30510	2	177.9813149	0.023850635
17172	2	177.981315	0
27895	2	177.9813151	0
250	2	179.9783276	0
16430	2	179.9783277	0.486227388
13872	2	179.9783278	0
51049	2	181.027126	0
14016	2	181.3668275	0
55459	2	181.3668276	0
33330	2	181.6794363	0
10337	2	181.6794364	0
35116	2	181.6794366	0
50352	2	181.6794368	0
48435	2	182.7440935	0
42775	2	183.0169714	0.037327082
5211	2	183.0169715	0
2279	2	183.2475338	0
23988	2	183.5242471	0
40953	2	202.4003306	0
33443	2	203.201919	0
42248	2	203.4293515	0
44529	2	203.6955709	0
40850	2	203.695571	0
20459	2	203.9715096	0
23491	2	203.9715097	0
7404	2	204.2623319	0
22086	2	204.262332	0
29581	2	204.8921104	0
52581	2	221.8386818	0
28693	2	243.0211167	0
26933	2	247.3083507	0
32349	2	251.7968527	0
50688	2	252.0661825	0
9118	2	253.4500907	0
29975	2	257.0069662	0
55298	2	259.3536834	0
15847	2	261.3887463	0
13302	2	277.8261209	0
38244	2	280.1871347	0
30478	2	280.608925	0
23368	2	280.6089251	0
35257	2	281.409474	0
12825	2	281.4094741	0
40118	2	281.4094742	0
27531	3	0.530897605	0
16681	3	0.530897705	0
39201	3	0.530897805	0
40077	3	0.807458898	0
39042	3	1.485202591	0
46500	3	5.926132208	0
34467	3	7.671477792	0
49116	3	8.809276846	0
42714	3	13.31149152	0.014004334
33032	3	13.31149162	0
48758	3	14.76392601	0
45761	3	15.25387584	0
48250	3	15.98307575	0
35506	3	23.21624046	0
54260	3	23.21624056	0
43244	3	24.62775665	0
42059	3	25.17067103	0
32371	3	28.43512716	0.683692347
55400	3	28.82677292	0
17471	3	28.82677302	0
50367	3	29.24115786	0
44183	3	29.24115796	0
26385	3	29.75189458	0.14357207
25003	3	29.75189468	0.073508871
46347	3	32.53733381	3.002851531
12535	3	33.52765889	0.452240757
13555	3	33.52765909	1.562244037
31890	3	34.19085779	2.036066722
17025	3	36.80688516	0.326255328
47905	3	37.53237314	0
48	3	39.58850289	0
25089	3	40.43762354	0
47205	3	40.43762364	0
13141	3	40.43762374	0
27786	3	41.4125758	0
15384	3	41.4125759	0
450	3	41.82525521	0
46066	3	43.66934181	0.043909828
17053	3	46.52851929	0
24032	3	47.19625466	0
23829	3	47.19625476	0
55979	3	48.89061126	0
53576	3	49.13783619	0.300885118
5482	3	49.13783639	0.114823835
35667	3	49.37674539	0
40537	3	49.37674549	0
10029	3	49.37674559	0
4375	3	49.6156779	0
45830	3	49.615678	0
9854	3	49.6156781	0
1311	3	50.68237329	0
12292	3	50.93694408	0
38176	3	51.28940663	0
48405	3	51.54479527	0
21364	3	52.88862214	0.239105838
21672	3	52.88862224	0
33719	3	52.88862234	0
48649	3	52.88862244	0.237753914
20354	3	53.47488574	0
10384	3	68.42840705	0.079099496
33260	3	68.61459774	0
16226	3	68.61459794	0
41498	3	68.61459804	0
10280	3	68.61459814	0
24013	3	68.61459824	0
16070	3	68.61459834	0
4216	3	68.61459854	0
13030	3	68.87479619	0
25530	3	68.87479629	0
33934	3	68.87479639	0
21540	3	68.87479649	0.126256956
6339	3	68.87479659	0
33414	3	68.87479669	0.039735458
721	3	68.87479689	0.052219071
51732	3	68.87479709	0
38676	3	68.87479719	0
26640	3	68.87479729	0
12080	3	68.87479739	0
4723	3	68.94968075	0
28411	3	69.1652969	0
51476	3	69.46930101	0
46336	3	69.46930121	0.211047085
41689	3	70.2738542	0
45211	3	71.17347819	0
16969	3	71.55470491	0
22399	3	75.93642304	0
44260	3	75.93642314	0
52565	3	75.93642324	0.238604835
35610	3	75.93642334	0
33326	3	76.47415257	0
31825	3	76.47415267	0.156061304
49496	3	76.47415277	0
34444	3	76.47415287	0
21134	3	76.99399793	0.802052906
33553	3	76.99399803	0
52577	3	76.99399813	0
11669	3	77.25579834	0
39885	3	77.51729892	0
52288	3	77.51729902	0
27306	3	77.77869916	0
29712	3	77.77869926	0
19784	3	78.04060071	0
49228	3	78.04060081	0
9413	3	78.04060091	0
12568	3	78.30025745	0
17799	3	78.56617304	0
29817	3	78.94806348	0
10904	3	79.31883432	0
16416	3	79.31883452	0
10651	3	79.31883462	0
1217	3	82.96104918	0
28380	3	82.96104928	0
33980	3	82.96104958	0
12939	3	83.50074739	0
41847	3	83.61470254	0
16242	3	83.61470264	0
28479	3	83.61470274	0
35924	3	83.61470284	0
793	3	83.61470294	0
27405	3	83.8764523	0
7755	3	84.13861661	0
46841	3	84.13861681	0
55239	3	84.13861691	0
51609	3	84.13861701	0.202583215
27233	3	84.13861711	0
34826	3	84.98043302	0
32802	3	84.98043312	0
49056	3	84.98043322	0
36701	3	85.27808028	0
21660	3	109.3384549	0
35333	3	109.5882663	0
5063	3	109.884915	0
7106	3	110.2444552	0
45347	3	111.1267794	0
6756	3	111.4347295	0.060576834
31916	3	111.4347296	0
22042	3	111.4347297	0
47160	3	111.4347298	0
32547	3	111.6922889	0
28447	3	111.9408837	0
12442	3	111.9408838	0
19180	3	111.9408839	0.091360116
31384	3	111.9408841	0
1928	3	112.3173821	0
14168	3	112.714289	0
43747	3	112.7142892	0
30473	3	112.975786	0
26289	3	113.2372358	0
10512	3	113.2372359	0
21432	3	113.237236	0
25972	3	113.2372361	0
46851	3	113.2372363	0
12725	3	113.2372364	0
52851	3	113.4985867	0
49644	3	113.7620859	0
38346	3	113.762086	0
18143	3	114.2899578	0
50288	3	114.2899579	0
30441	3	114.289958	0
41494	3	114.5536037	0
1128	3	115.8890626	0
15026	3	115.8890627	0
11335	3	115.8890628	0
53496	3	115.889063	0
7645	3	115.8890631	0
7158	3	115.8890632	0
2746	3	117.1426042	0
34354	3	117.778218	0
39450	3	117.7782181	0
19191	3	118.0453323	0
856	3	118.0453324	0
49278	3	118.5720635	0
15816	3	118.5720636	0
9766	3	118.5720638	0
41072	3	120.3994633	0
51620	3	120.6958427	0
20874	3	121.4993625	0
7708	3	121.4993627	0
3442	3	121.4993628	0
2661	3	122.7759056	0
49010	3	122.7759057	0
25150	3	123.2473978	0
42976	3	123.6324907	0
13283	3	123.6324908	0
3670	3	123.9093063	0
42214	3	123.9093065	0
32499	3	123.9093067	0
55650	3	124.9708525	0
55450	3	124.9708526	0
24332	3	125.8286504	0
7284	3	125.8286505	0
29133	3	125.997486	0
48178	3	175.6893353	0
21032	3	175.8029732	0
52070	3	180.1515266	0
39863	3	180.4107352	0
20584	3	180.4107353	0
3336	3	182.3192104	0
21566	3	189.5723857	0
23943	3	191.1511427	0
21325	3	192.4402042	0
55388	3	193.589069	0
16057	3	195.7644987	0
1848	3	196.6758398	0
23371	3	198.7152647	0
45753	3	198.7152648	0
24343	3	205.9203558	0
52269	3	207.3050942	0
11857	3	207.6036496	0
22597	3	207.8759925	0
42007	3	208.1948624	0
771	3	209.6555436	0
26393	3	210.8891314	0.082608855
46104	3	215.120021	0
29795	3	215.1200211	0
30330	3	215.3473458	0
37030	3	219.2980505	0
15515	3	219.6042212	0.020525042
21322	3	219.8460313	0
34857	3	219.8460314	0
20357	3	220.1081779	0.068129329
8009	3	220.6710825	0
3684	3	222.3056394	0
15547	3	222.3056395	0
45646	3	223.4101598	0
46012	3	223.7380329	0
31541	3	223.738033	0
17322	3	225.6247517	0
10325	3	227.0824389	0
1100	3	227.5662338	0
17107	3	228.2687036	0
50077	3	228.621225	0
15828	3	228.6212251	0
1375	3	228.6212252	0
54453	3	228.8814931	0
14519	3	228.8814933	0
18496	3	228.8814934	0
24201	3	228.8814937	0
11991	3	228.8814938	0
30968	3	228.8814939	0
20356	3	228.8814941	0
29561	3	228.8814943	0
55881	4	8.655437453	0
50703	4	15.91064933	0
37968	4	15.91064953	0
32741	4	16.17518065	0
6459	4	16.17518075	0
38434	4	16.17518085	0.024002332
45801	4	16.17518095	0
46889	4	16.17518105	0
38888	4	17.10407616	0
2166	4	18.3463676	0
5775	4	18.3463677	0
47580	4	18.67240996	0
47011	4	21.64925302	0
50878	4	21.64925322	0
12302	4	21.64925332	0
34985	4	21.92836282	0
29813	4	22.53990203	0
41646	4	22.81777891	0
32192	4	25.95723756	0
33390	4	26.96470732	0
55427	4	28.84647168	0
46872	4	28.84647178	0
47179	4	29.3885494	0.082352386
9258	4	30.07475353	0
55889	4	31.47241055	0
53646	4	32.80987937	0
17841	4	42.28199008	0
36818	4	42.56068389	0
48877	4	42.56068399	0
29411	4	42.90461042	0
52646	4	44.01564472	0
34571	4	44.27457182	0
11349	4	44.27457192	0
48111	4	44.27457202	0
50028	4	50.46868152	0.018689714
37204	4	50.48523525	0
54282	4	51.31954106	0
35894	4	51.31954116	0
26765	4	51.95858528	0
47940	4	54.26861227	0
5687	4	54.26861237	0
37618	4	54.26861257	0
29924	4	55.05966722	0
49956	4	55.05966732	0
50642	4	56.52833933	0
44607	4	56.52834005	0
19015	4	57.10437003	0
16493	4	57.70084371	0
14933	4	58.09529259	0
6233	4	58.09529269	0
51343	4	58.62760388	0
32876	4	58.62760398	0
20262	4	60.11830373	0
12090	4	61.2369243	0
43720	4	61.2369244	0
25716	4	63.08948412	0
8060	4	63.43329827	0
12441	4	64.28749294	0
21727	4	64.28749304	0
52160	4	64.28749314	0
8397	4	65.42412198	0
52176	4	65.42412208	0
51371	4	65.42412218	0
49259	4	89.57810626	0
33674	4	89.57810636	0
22181	4	90.12507309	0
46506	4	90.39403401	0
15520	4	90.39403411	0
36610	4	91.37784125	0
24944	4	94.58479155	0
24416	4	95.68401685	0
47667	4	96.19605087	0
44915	4	96.45470296	0
45267	4	96.71634151	0
14087	4	96.71634161	0
29255	4	96.71634171	0
3260	4	96.71634181	0
18289	4	97.50339246	0
31875	4	97.50339266	0
5538	4	97.79288622	0
11015	4	97.79288632	0
45822	4	97.79288652	0.043825612
12955	4	97.79288662	0
45383	4	131.7823026	0.245804066
32924	4	132.7750823	0
54851	4	132.7750825	0
8474	4	133.5825386	0
15107	4	133.5825387	0
53461	4	134.3782328	0
36672	4	134.6342116	0.045478324
37172	4	134.6342117	0
27991	4	134.8953774	0
37904	4	134.8953775	0
30613	4	135.6966969	0
53591	4	136.5083731	0
47634	4	137.7299526	0
48127	4	138.121869	0
37140	4	138.3499748	0
23318	4	138.3499749	0
43094	4	138.349975	0
11074	4	138.6158701	0
44950	4	138.6158702	0
16953	4	138.8740543	0
38116	4	138.8740544	0
6456	4	138.8740545	0
34397	4	139.1345105	0
5387	4	139.1345106	0
22336	4	139.1345108	0
25958	4	139.6567148	0
22097	4	139.6567149	0
40024	4	139.656715	0
523	4	139.6567151	0
29610	4	139.6567152	0
21397	4	139.6567153	0
30575	4	139.6567154	0
34208	4	139.6567155	0.061250696
211	4	139.6567157	0
29815	4	140.1789913	0
50654	4	140.1789914	0
51160	4	140.4391173	0
48637	4	140.4391176	0
36865	4	140.4391177	0
34265	4	140.4391179	0
30282	4	140.4391181	0
39487	4	140.4391182	0
6039	4	140.4391183	0
12116	4	140.4391184	0
16274	4	140.6767801	0
20600	4	140.6767803	0
1091	4	140.6767804	0
29252	4	140.9144421	0
46740	4	140.9144422	0
2342	4	140.9144423	0
10640	4	140.9144424	0.039958731
25287	4	140.9144425	0
28997	4	140.9144426	0
22857	4	140.9144427	0
41221	4	140.9144429	0
42572	4	140.914443	0
48022	4	140.9144431	0
26157	4	141.1745764	0
40483	4	141.1745765	0
26827	4	141.1745766	0
30694	4	141.6968046	0
40191	4	141.6968047	0
35862	4	141.6968048	0
48575	4	141.6968049	0
13910	4	142.1977416	0
3649	4	142.1977417	0
24019	4	142.4366171	0
49913	4	142.6971457	0
53401	4	142.6971458	0
40994	4	142.6971459	0
29669	4	142.697146	0
195	4	142.6971461	0
12212	4	142.6971462	0
2137	4	142.6971463	0
54818	4	142.6971465	0
47276	4	142.6971466	0
379	4	142.6971468	0
16169	4	142.6971469	0
30670	4	142.697147	0
16533	4	142.6971471	0
23224	4	142.6971472	0
26578	4	142.6971474	0.011348861
32182	4	142.6971475	0
38399	4	142.8364341	0
33525	4	142.9757216	0
54817	4	142.9757217	0
16219	4	142.9757218	0
4437	4	142.9757219	0
47874	4	142.975722	0
43046	4	142.9757222	0
24882	4	142.9757223	0
28461	4	143.5080616	0
16420	4	143.5080617	0
3121	4	143.5080618	0.104388401
48884	4	143.8671223	0
19858	4	143.8671224	0
55246	4	145.4719288	0
1689	4	146.5958895	0
23182	4	147.1600782	0
51787	4	147.1600783	0
4771	4	149.334239	0
39781	4	150.8051825	0
6146	4	150.8051826	0
15818	4	152.2900249	0
46460	4	152.290025	0
25948	4	154.0482352	0
10288	4	154.368544	0
11809	4	155.4388905	0
2600	4	156.6845559	0
32098	4	160.1958688	0.067408115
9037	4	162.0626073	0
39091	4	165.4293852	0
308	4	175.39529	0
1363	4	175.3952901	0
53189	4	175.8184251	0
54080	4	175.8184252	0
13995	4	185.0300202	0
34650	4	186.9909005	0.02712176
49537	4	189.0581584	0.013634593
15934	4	190.4437992	0
10563	4	190.4437994	0
15553	4	196.8637543	0
16646	4	197.3826652	0
10911	4	197.7621543	0
3898	4	197.7621544	0
29192	4	197.7621545	0
50253	4	197.7621546	0
37564	4	197.7621547	0
17050	4	197.7621548	0
38721	4	197.7621549	0
55290	4	197.762155	0
24843	4	198.3824182	0
45508	4	198.5918149	0
30160	5	1.555101202	0
33693	5	1.555101302	0
18552	5	1.555101402	0
33119	5	2.485437641	0
2878	5	2.743477547	0
23969	5	2.743477647	0
17607	5	2.743477747	0
14410	5	2.743477847	0
26419	5	3.529211919	0
365	5	3.529212019	0
33447	5	3.529212119	0
40952	5	3.529212219	0
2639	5	3.799941435	0
8436	5	3.799941535	0
12053	5	3.799941635	0
53065	5	4.020118094	0
25049	5	10.33886715	0
2126	5	10.60801882	0
40115	5	29.75535601	0
3382	5	29.75535611	0
39364	5	29.75535621	0
8314	5	29.75535631	0
49659	5	31.47998075	0
31847	5	32.05306432	0
52629	5	34.26667931	0
21832	5	36.07830604	0
50001	5	39.12075554	0
34512	5	39.12075564	0
28197	5	39.12075574	0
46158	5	40.19059643	0
29918	5	40.46511847	0
37362	5	40.46511857	0
35930	5	40.46511867	0
7842	5	41.36616866	0
8074	5	44.50047954	0
39597	5	46.3456135	0
13374	5	46.64866784	0
8291	5	47.21924166	0
48953	5	48.91978297	0
26049	5	49.21304313	0
47793	5	51.96507241	0
48481	5	51.96507251	0
27508	5	53.76698256	0
27532	5	53.76698266	0
22330	5	54.61201315	0
741	5	54.61201325	0
32640	5	55.68560704	0
13212	5	56.21524621	0
7572	5	56.21524631	0
50828	5	56.7360215	0
51700	5	56.7360217	0
17682	5	56.7360218	0
2047	5	59.12044429	0
37990	5	59.12044439	0
4612	5	59.4090813	0
54597	5	59.4090814	0
40859	5	59.4090815	0
31187	5	59.4090817	0
37582	5	59.4090818	0
37239	5	59.4090819	0
6102	5	59.409082	0
2009	5	59.6712406	0
35051	5	59.6712408	0
31313	5	59.6712409	0
18062	5	59.671241	0
15739	5	59.6712411	0
35750	5	60.72579586	0
36336	5	60.72579606	0
20732	5	60.72579626	0
27186	5	60.96866851	0
14030	5	60.96866861	0
44098	5	60.96866871	0
53835	5	61.24862415	0
3540	5	61.24862425	0
23437	5	61.5384407	0
17404	5	62.48285024	0
15687	5	62.48285034	0
51570	5	63.14999229	0
24799	5	63.14999239	0
10228	5	63.14999249	0
14543	5	63.14999259	0
36271	5	63.14999269	0
47117	5	63.41016147	0
42147	5	63.41016157	0
49357	5	63.67255333	0
50099	5	63.89351397	0
42199	5	68.78348478	0
20066	5	74.26884401	0
55569	5	74.26884411	0
3783	5	75.82987452	0
8220	5	76.12101366	0
43218	5	76.12101386	0
38658	5	76.12101396	0
20927	5	76.38222415	0
34018	5	77.03586684	0
55729	5	77.69075169	0
4395	5	77.69075179	0
4541	5	77.69075189	0
48062	5	78.74078878	0
38225	5	78.74078888	0
16201	5	79.26584242	0
40103	5	79.26584252	0
4916	5	79.26584262	0
52203	5	79.52616926	0
25128	5	80.47482642	0
14469	5	80.78154771	0
29979	5	81.31472316	0
