id_hagr,aliases,symbol_hugo,name_common,entrez_id,why,band,location_start,location_end,orientation,unigene,swissprot,acc_promoter,acc_orf,acc_cds,references
11,EM9 TTD XPD COFS2,ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",2068,mammal,19q13.3,50546685,50565669,-1,487294,ERCC2_HUMAN,,NM_000400,NP_000391,"11950998,3770739,14630875,10688865,9353177,11239393,11341993,10416615,8287470,15295107,16115803,16472827,9426063,9651581,17173483,17020410,16904611,8855246,18510924","Y50D7A.2;Caenorhabditis elegans,ercc2;Danio rerio,Xpd;Drosophila melanogaster,Ercc2;Mus musculus,ERCC2;Pan troglodytes,LOC1003649;Rattus norvegicus,RAD3;Saccharomyces cerevisiae"
12,CSA CKN1 UVSS2,ERCC8,"excision repair cross-complementing rodent repair deficiency, complementation group 8",1161,human,5q12.1,60205415,60276628,-1,435237,ERCC8_HUMAN,HS_CKN1,NM_000082,NP_000073,"7664335,11089984,147113,10688865,9117983,8247153,2366592,15353794,1308368,8855246","ercc8;Danio rerio,Ercc8;Mus musculus,ERCC8;Pan troglodytes,Ercc8;Rattus norvegicus"
13,RECQ3 RECQL2 RECQL3,WRN,"Werner syndrome, RecQ helicase-like",7486,"human,mammal,cell",8p12-p11.2,31010319,31150818,1,632050,WRN_HUMAN,NM_000553,NM_000553,NP_000544,"8602509,11089984,9352493,9288107,9771700,10725663,11087895,12934712,11023999,14527998,147113,12181313,12771022,10364153,10880505,12827497,12842909,9117983,14612404,11348659,10373438,12803543,12200042,12937274,14612507,12384494,11889123,11598021,14712220,10678659,11257107,12750383,9789047,11896071,10806190,10781066,11279038,11027336,9681877,14734561,14657658,15026416,15115755,14618025,15235603,12882351,15246744,15236770,15292449,15336909,15331638,15353794,15367665,15200954,15466429,15610765,11809708,12202749,15916783,15897889,12024027,16087220,16098926,16141234,12665521,15733840,16287861,16339323,16405962,16449207,10757812,11280729,16723399,16714450,17015833,18203716,20477760,19741171,19077115,20215438,9611231,11152456","wrn-1;Caenorhabditis elegans,Wrn;Mus musculus,WRN;Pan troglodytes"
14,FPL IDC LFP CDDC EMD2 FPLD HGPS LDP1 LMN1 LMNC PRO1 CDCD1 CMD1A FPLD2 LMNL1 CMT2B1 LGMD1B,LMNA,lamin A/C,4000,human,1q21.2-q21,152897570,152922944,1,594444,LMNA_HUMAN,,NM_170707,NP_733821,"12714972,11089984,12927431,1944388,12748643,147113,8278403,18381888,9117983,2366592,10080180,8838815,14996929,12735900,15130666,15184648,15145358,15268757,15353794,15466429,15479179,15722103,15688064,15750600,15756215,15980864,16079796,11923874,12235369,10579712,12913070,15843403,15317753,15972724,16129833,16248985,16269543,16461887,16492728,16481476,16645051,16511604,16671095,16738054,16801550,18256394,17469202,21807766,19926845,21346760,18311132,21746928,20961378,18843043,22541428,22419169,23019125,23917225,14570852,14755333,20605919","F1MYG5_BOV;Bos taurus,lmn-1;Caenorhabditis elegans,lmna;Danio rerio,Lam;Drosophila melanogaster,LamC;Drosophila melanogaster,Lmna;Mus musculus,Lmna;Rattus norvegicus"
15,IGFR CD221 IGFIR JTK13,IGF1R,insulin-like growth factor 1 receptor,3480,model,15q26.3,97010287,97319034,1,643120,IGF1R_HUMAN,,NM_000875,NP_000866,"12483226,12843179,1849352,11292875,11021802,8247153,8402902,10077613,14698816,9716402,14628051,8402901,14657428,15295107,11133160,15308771,14871929,14745968,15342923,15466429,15565107,15621218,15582293,15339240,15345673,15888324,15919742,16123266,11172010,16524678,16631585,15956778,18316725,22132081,18959478,18615585","IGF1R_BOVI;Bos taurus,daf-2;Caenorhabditis elegans,igf1ra;Danio rerio,igf1rb;Danio rerio,InR;Drosophila melanogaster,Igf1r;Mus musculus,IGF1R;Pan troglodytes,Igf1r;Rattus norvegicus"
16,TRX TRDX TRX1,TXN,thioredoxin,7295,"model,functional",9q31,110085862,110098327,-1,435136,THIO_HUMAN,HS_TXN,NM_003329,NP_003320,"12230882,12743125,12956415,14580311,12742531,11237106,15295107,15466429,15680221,15990177,16449798,16324156,17301052,21873593,20074557","THIO_BOVIN;Bos taurus,trx-1;Caenorhabditis elegans,zgc:56493;Danio rerio,zgc:92903;Danio rerio,Trx-2;Drosophila melanogaster,TrxT;Drosophila melanogaster,Txn1;Mus musculus,TXN;Pan troglodytes,Txn1;Rattus norvegicus,TRX1;Saccharomyces cerevisiae,TRX2;Saccharomyces cerevisiae"
17,,KL,klotho,9365,mammal,13q12,32488570,32538279,1,524953,KLOT_HUMAN,,NM_004795,NP_004786,"9363890,11792841,12119304,10837414,14701853,12369777,12475907,12362891,15295107,15302783,15466429,15677572,15763166,12669274,12110410,16123266,16186101,16144705,11016890,17014852,16436388,17086194,16436465,17690294,17569864,18762812,18678710,19635988,21474560,19077115,14528024,15665504,17452648","KL;Bos taurus,Kl;Mus musculus,KL;Pan troglodytes,Kl;Rattus norvegicus"
18,RBP3 E2F-1 RBAP1 RBBP3,E2F1,E2F transcription factor 1,1869,"cell,downstream",20q11.2,31727149,31737854,-1,654393,E2F1_HUMAN,,NM_005225,NP_005216,"1321348,8357823,9375022,10557106,9537419,11909960,10594030,12554697,9491888,10199402,12757710,14996929,15716376,16892051",
19,CFC NS1 SHP2 BPTP3 PTP2C PTP-1D SH-PTP2 SH-PTP3,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",5781,downstream,12q24,111319255,111410436,1,506852,PTN11_HUMAN,,NM_002834,NP_002825,"4025385,8992867,10895047,10742110,10700187,15985475,15956085","PTPN11;Bos taurus,ptp-2;Caenorhabditis elegans,csw;Drosophila melanogaster,Ptpn11;Mus musculus"
20,p52 p105 H2TF1 LYT10 LYT-10 NF-kB2,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,functional,10q24,104145452,104152257,1,73090,NFKB2_HUMAN,,NM_002502,NP_002493,"9989825,10094826,12380689,12020944,11491660,11291593,10978675,9143018,10485710,10485711,12470896,10894547,12150997,15176485,12391591,10754263,11493922,12424381,16183991,18599449,22706308,19135889,22302838,23159929,23019125,16723383,23636330,23521863,15685170,15685173,9011632,12529332","NFKB2;Bos taurus,nfkb2;Danio rerio,Rel;Drosophila melanogaster,Nfkb2;Mus musculus,NFKB2;Pan troglodytes,Nfkb2;Rattus norvegicus"
21,STAT5,STAT5B,signal transducer and activator of transcription 5B,6777,downstream,17q11.2,37604721,37681950,-1,632256,STA5B_HUMAN,,NM_012448,NP_036580,"10817928,11470130,8692797,16371324,9630227","STAT5B;Bos taurus,sta-1;Caenorhabditis elegans,stat6;Danio rerio,Stat92E;Drosophila melanogaster,Stat5b;Mus musculus,Stat5b;Rattus norvegicus"
22,APRF HIES,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),6774,downstream,17q21.31,37718868,37794039,-1,463059,STAT3_HUMAN,,NM_003150,NP_003141,"10817928,8944679,9861011,14566054,8910279,15044360,11457594,12594516,8692797,16371324,11970899,22665934,19295512","STAT3;Bos taurus,sta-1;Caenorhabditis elegans,stat3;Danio rerio,Stat3;Mus musculus,STAT3;Pan troglodytes,Stat3;Rattus norvegicus"
23,MGF STAT5,STAT5A,signal transducer and activator of transcription 5A,6776,downstream,17q11.2,37693090,37717484,1,437058,STA5A_HUMAN,,NM_003152,NP_003143,"10817928,11470130,8692797,16371324,9630227","STAT5A;Bos taurus,sta-1;Caenorhabditis elegans,stat6;Danio rerio,Stat92E;Drosophila melanogaster,Stat5a;Mus musculus,STAT5A;Pan troglodytes,Stat5a;Rattus norvegicus"
24,GGF HGL HRG NDF ARIA GGF2 HRG1 HRGA SMDF MST131,NRG1,neuregulin 1,3084,putative,8p21-p12,32624285,32720285,1,453951,NRG1_HUMAN,,NM_013959,NP_039253,"9553078,7546738,8815893,14555954,10707974,12145742","A3KN34_BOV;Bos taurus,nrg1;Danio rerio,Nrg1;Mus musculus"
25,HD3 RPD3 RPD3-2,HDAC3,histone deacetylase 3,8841,functional,5q31,140980626,140996596,-1,519632,HDAC3_HUMAN,,NM_003883,NP_003874,"12459580,10512855,11533489,11931768,12429021,15520384,9501169","Q6RCM5_BOV;Bos taurus,hdac3;Danio rerio,Hdac3;Drosophila melanogaster,Hdac3;Mus musculus,LOC738624;Pan troglodytes,HDAC3_RAT;Rattus norvegicus"
26,GH GHN GH-N hGH-N IGHD1B,GH1,growth hormone 1,2688,mammal,17q24.2,59348294,59349930,-1,655229,SOMA_HUMAN,HS_GH1,NM_000515,NP_000506,"11487592,12915652,11994335,8944679,14647066,14659590,14583653,2355952,12692087,12630074,12610294,12471175,12393957,12057928,12044358,11983714,10905380,11855684,12955026,12663691,15295107,11133160,15308771,14751587,14871929,15036422,15342923,8612101,15536017,15339240,15664625,15718052,15699523,15790724,15579798,15596027,15621211,15708445,15919742,15771611,8670892,10522985,15963853,9180082,16024298,16129095,15985475,15956085,16524678,15464751,10654626,11283314,10084571,8350664,16682650,16799137,16760634,11742825,17183314,17173483,9630227,17326724,18434714,12011468,9045866","SOMA_BOVIN;Bos taurus,gh1;Danio rerio,Gh;Mus musculus,Gh1;Rattus norvegicus"
27,ILRA CD127 IL7RA CDW127 IL-7R-alpha,IL7R,interleukin 7 receptor,3575,putative,5p13,35892747,35912678,1,591742,IL7RA_HUMAN,,NM_002185,NP_002176,"9495344,8692964,7964471,12433363,16357322","IL7R;Bos taurus,Il7r;Mus musculus,IL7R;Pan troglodytes,Il7r;Rattus norvegicus"
28,IGFI IGF-I IGF1A,IGF1,insulin-like growth factor 1 (somatomedin C),3479,functional,12q22-q23,101292143,101376791,-1,160562,IGF1B_HUMAN,,NM_000618,NP_000609,"12933651,12169020,12843179,10873623,11213276,11213270,8402902,12049864,12692087,12652183,12630074,12610294,12393957,12057928,12044358,12014835,11983714,10385438,11855684,14645858,14602984,14580857,12900169,12882326,12882324,12845331,12714272,11381260,10077613,12865482,12663691,12750521,9353126,11175789,8402901,9861016,9593409,15295107,11133160,15308771,14871929,15247062,14745968,15190176,15036422,15342923,14726476,8612101,11106682,15192154,15621205,15621218,15536017,15339240,15288688,15456908,15664625,15718052,10022403,15790724,12559758,15205477,15888324,15579798,15596027,15621211,15919742,15637588,15771611,15820683,15708981,15272020,16123266,9180082,16024298,16123158,16164423,16129095,15985475,15956085,16269543,16288288,16439206,11172010,16524678,16293644,16298247,16170353,16631584,16682650,16631585,15956778,16760634,16890541,16505167,16652371,18054318,17183314,17173483,9630227,11586954,17973971,18316725,10752709,17373631,17326724,21799924,19896963,3197646,20610588,19103645,19619420,20351075,18762812,18434714,22733568,7664676,20946987,22021391,16625210,9045866","IGF1_BOVIN;Bos taurus,igf1;Danio rerio,Igf1;Mus musculus,Igf1;Rattus norvegicus"
29,IGF-II PP9974 C11orf43,IGF2,insulin-like growth factor 2 (somatomedin A),3481,functional,11p15.5,2110531,2116578,-1,523414,IGF2_HUMAN,HS_IGF2_4,NM_000612,NP_000603,"12630074,8876210,12637750,12746334,14704185,10077613,9353126,14745968,15190176,15298990,2330056,9349812,7514593,9389646,15888324,15621215,1997210,11448941,16079258,14973274,21270887","igf2b;Danio rerio,Igf2;Mus musculus"
30,ILPR IRDN IDDM2 MODY10,INS,insulin,3630,functional,11p15.5,2137584,2139000,-1,654579,INS_HUMAN,HS_INS,NM_000207,NP_000198,"12933651,12169020,12543978,10873623,12610294,11927387,14645858,11738155,14618027,14580857,12955025,12900169,12882326,12882324,12845331,12750520,10066179,11381260,10077613,11818964,12750521,9353126,12447443,9888854,11274053,12032158,15175753,15295107,10747954,15190176,15342923,14747284,12023258,11106682,15192154,15565107,15621218,15288688,12559758,15205477,15919793,15888324,15637588,15771611,15820683,15708981,15272020,12530968,16098828,16123266,16098826,11440717,16164423,16269543,16288288,11160162,16443777,16524678,16366736,15546000,11443193,11016890,16631584,16682650,16631585,16611697,16890541,12908874,16505167,17173483,18443001,17908559,17928362,17652964,19619420,21873205,20946987,18223156,16625210,15685173,12219087,16282554",
31,NGFB HSAN5 Beta-NGF,NGF,nerve growth factor (beta polypeptide),4803,putative,1p13.1,115540580,115592899,-1,2561,NGF_HUMAN,,NM_002506,NP_002497,"10485922,8463833,3306916,10659850,1648601,1655975,15165704,10102273,15897889,16288288,16337913,16815330","NGF_BOVIN;Bos taurus,Ngf;Mus musculus,NGF_PANTR;Pan troglodytes,Ngf;Rattus norvegicus"
32,HIRS-1,IRS1,insulin receptor substrate 1,3667,model,2q36,227425442,227489980,-1,471508,IRS1_HUMAN,,NM_005544,NP_005535,"12843179,11292874,11927387,12882356,9312143,15180298,15295107,10747954,15582274,15565107,15780592,15888324,15771611,16123266,16524678,10591678,12679424,12908874,17928362,19734900,21706003,21873205,16625210","IRS1;Danio rerio,chico;Drosophila melanogaster,Irs1;Mus musculus,IRS1;Pan troglodytes,Irs1;Rattus norvegicus"
33,PTP1B,PTPN1,"protein tyrosine phosphatase, non-receptor type 1",5770,downstream,20q13.1-q1,48560297,48634491,1,417549,PTN1_HUMAN,,NM_002827,NP_002818,"10066179,12802339,17908559,16845389,11970899","A6QQN2_BOV;Bos taurus,ptpn1;Danio rerio,Ptp61F;Drosophila melanogaster,Ptpn1;Mus musculus,PTPN1;Pan troglodytes,Ptpn1;Rattus norvegicus,PTP1;Saccharomyces cerevisiae"
34,IRS-2,IRS2,insulin receptor substrate 2,8660,"model,putative",13q34,109204186,109236915,-1,442344,IRS2_HUMAN,,NM_003749,NP_003740,"11292874,11927387,12882356,15180298,15295107,15565107,15780592,15888324,16123266,16524678,11473060,12908874,16505167,17641201,18590691,17928362,16625210","IRS2;Bos taurus,IRS2;Danio rerio,chico;Drosophila melanogaster,Irs2;Mus musculus,IRS2;Pan troglodytes"
35,AKT PKB RAC CWS6 PRKBA PKB-ALPHA RAC-ALPHA,AKT1,v-akt murine thymoma viral oncogene homolog 1,207,"model,cell",14q32.32,104306752,104330608,-1,525622,AKT1_HUMAN,,NM_005163,NP_005154,"15767565,11154281,11884591,12719720,11277998,11381260,11544177,12237475,11257494,9005851,10485710,10485711,11607034,12039436,12044943,9716402,9020362,15295107,14871929,15383658,14985531,14726476,15718052,15780592,15860463,15888324,12530968,16123266,16186101,15930121,16288288,12110585,10364160,16170353,14713953,16631584,16675393,16914869,12908874,16505167,21901288,15843522,23935948,18223156,21157483,21474066,15084260,12782654,15492215,10051603","akt-1;Caenorhabditis elegans,akt-2;Caenorhabditis elegans,AKT3 (1 of;Danio rerio,Akt1;Drosophila melanogaster,Akt1;Rattus norvegicus"
36,PI3K PIK3C1 P110BETA PI3KBETA,PIK3CB,"phosphoinositide-3-kinase, catalytic, beta polypeptide",5291,"model,downstream",3q22.3,139856928,139960883,-1,239818,PK3CB_HUMAN,,NM_006219,NP_006210,"12843179,11154281,11884591,12554697,11277998,11381260,10485711,15165704,11607034,9716402,12032158,15295107,15621218,15780592,15860463,16164423,8700226,10364160,16631584,16914869,12908874,18239123","PIK3CB;Bos taurus,age-1;Caenorhabditis elegans,Pi3K92E;Drosophila melanogaster,Pik3cb;Mus musculus,PIK3CB;Pan troglodytes,Pik3cb;Rattus norvegicus"
37,CD271 p75NTR TNFRSF16 p75(NTR) Gp80-LNGFR,NGFR,"nerve growth factor receptor (TNFR superfamily, member 16)",4804,downstream,17q21-q22,44927665,44947360,1,415768,TNR16_HUMAN,,NM_002507,NP_002498,"2169390,2166241,1655975,8673925,1316615","A5PJV7_BOV;Bos taurus,Ngfr;Mus musculus,NGFR;Pan troglodytes,Ngfr;Rattus norvegicus"
38,CTLO HAMSV HRAS1 K-RAS N-RAS RASH1 C-H-RAS H-RASIDX C-BAS/HAS C-HA-RAS1,HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,3265,"model,cell",11p15.5,522242,525550,1,37003,RASH_HUMAN,HS_HRAS_3,NM_005343,NP_005334,"10638521,1511730,12855292,11971980,10910364,10638520,8034612,12529440,10795716,10950866,7564569,1322798,8137421,9020362,10440377,14871929,12470840,15456908,16164423,17889646,18590691,18204081,18800172,21474066,17540175",
39,MRTL MYCC c-Myc bHLHe39,MYC,v-myc myelocytomatosis viral oncogene homolog (avian),4609,"cell,upstream",8q24.12-q2,128817685,128822853,1,202453,MYC_HUMAN,HS_MYC_2,NM_002467,NP_002458,"1511730,12842909,9988278,8712067,11452025,12757710,8910279,12553908,12628936,9360929,8425219,14657658,9020362,10606235,12368264,15126105,15361884,16537449,16507766,17664422,23217706,9973199","MYC_BOVIN;Bos taurus,mycb;Danio rerio,dm;Drosophila melanogaster,Myc;Mus musculus,MYC;Pan troglodytes,Myc;Rattus norvegicus"
40,ERBB HER1 mENA ERBB1 PIG61,EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1956,downstream,7p12,54860933,55049239,1,488293,EGFR_HUMAN,HS_EGFR_2,NM_005228,NP_005219,"12885591,9553078,14499637,12717449,12529440,10795716,9277418,8223996,10700187,15385618,15075456,14744244,10764734","EGFR;Bos taurus,Egfr;Drosophila melanogaster,Egfr;Mus musculus,EGFR;Pan troglodytes,Egfr;Rattus norvegicus"
41,NEU NGL HER2 TKR1 CD340 HER-2 MLN 19 HER-2/neu,ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2064,downstream,17q11.2-q1,35109921,35138436,1,446352,ERBB2_HUMAN,HS_ERBB2_2,NM_004448,NP_004439,"9553078,7546738,8815893,14555954,11867754,8100231,7846046,14744244,10655525","ERBB2;Bos taurus,erbb2;Danio rerio,Egfr;Drosophila melanogaster,Erbb2;Mus musculus,ERBB2;Pan troglodytes,Erbb2;Rattus norvegicus"
42,HHF5 CD220,INSR,insulin receptor,3643,model,19p13.3-p1,7067637,7245011,-1,465744,INSR_HUMAN,,NM_000208,NP_000199,"12543978,11292875,11021802,11242085,8247153,11927387,10066179,12882356,9252323,12447443,14698816,9716402,10428762,11274053,15175753,15295107,10025399,15190176,15342923,15466429,15582274,15565107,15253933,15888324,12530968,16123266,16099946,16524678,2544998,16631585,12908874,9789046,18001293","Q8MII7_BOV;Bos taurus,daf-2;Caenorhabditis elegans,insra;Danio rerio,insrb;Danio rerio,InR;Drosophila melanogaster,Insr;Mus musculus,INSR;Pan troglodytes,Insr;Rattus norvegicus"
43,N-CoR TRAC1 N-CoR1 hN-CoR,NCOR1,nuclear receptor co-repressor 1,9611,downstream,17p11.2,15875983,16059570,-1,462323,NCOR1_HUMAN,,NM_006311,NP_006302,"12410313,11030619,11931768,12150997,22078881,21179166","gei-8;Caenorhabditis elegans,ncor1;Danio rerio,Smr;Drosophila melanogaster,Ncor1;Mus musculus,NCOR1_RAT;Rattus norvegicus"
44,ATV NBS P95 NBS1 AT-V1 AT-V2,NBN,nibrin,4683,"functional,putative",8q21,91014888,91066072,-1,492208,NBN_HUMAN,,NM_002485,NP_002476,"9590181,11089984,9620777,9590180,10783165,10888888,10802669,10811102,12422221,10915761,10839545,10426999,11231126,11934988,14608368,14712078,11110662,14707289,15026416,14745549,16141234,15733840,22753495","nbn;Danio rerio,Nbn;Mus musculus,NBN;Pan troglodytes,Nbn;Rattus norvegicus"
45,AP-1,JUND,jun D proto-oncogene,3727,"mammal,putative",19p13.2,18251569,18253468,-1,2780,JUND_HUMAN,,NM_005354,NP_005345,"10978675,11705637,11389931,15147972,18249171,11557282,14566971","jund;Danio rerio,Jra;Drosophila melanogaster,Jund;Mus musculus,GCN4;Saccharomyces cerevisiae"
46,IL-2 TCGF lymphokine,IL2,interleukin 2,3558,putative,4q26-q27,123730232,123735485,-1,89679,IL2_HUMAN,HS_IL2,NM_000586,NP_000577,"12633940,2342538,3131876,6427923,10840474,10417270,15843522","IL2_BOVIN;Bos taurus,Il2;Mus musculus,IL2;Pan troglodytes,Il2;Rattus norvegicus"
47,SIS SSV IBGC5 PDGF2 c-sis PDGF-2,PDGFB,platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog),5155,upstream,22q12.3-q1,37944218,37965490,-1,1976,PDGFB_HUMAN,HS_PDGFB,NM_002608,NP_002599,"10485711,11827927,12668888,11385629,9211853,8645566,8253073","Q58D48_BOV;Bos taurus,pvf-1;Caenorhabditis elegans,PDGFB (1 o;Danio rerio,Pdgfb;Mus musculus,PDGFB;Pan troglodytes,Pdgfb;Rattus norvegicus"
48,URG HOMG4,EGF,epidermal growth factor (beta-urogastrone),1950,upstream,4q25,111191653,111291023,1,419815,EGF_HUMAN,,NM_001963,NP_001954,"10580504,12885591,10817928,10795716,8223996,382984,11001946,10748057,8253073,8631968,15385618,15075456,16248985,16170353,10764734","egf;Danio rerio,Egf;Mus musculus,EGF;Pan troglodytes,Egf;Rattus norvegicus"
49,P64 CIDX IMD4 CD132 SCIDX IL-2RG SCIDX1,IL2RG,"interleukin 2 receptor, gamma (severe combined immunodeficiency)",3561,downstream,Xq13.1,70110279,70114424,-1,84,IL2RG_HUMAN,HS_IL2RG,NM_000206,NP_000197,"10840474,10417270",
