id_hagr	aliases	symbol_hugo	name_common	entrez_id	why	band	location_start	location_end	orientation	unigene	swissprot	acc_promoter	acc_orf	acc_cds	references
22	APRF HIES	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	6774	downstream	17q21.31	37718868	37794039	-1	463059	STAT3_HUMAN		NM_003150	NP_003141	1,081,792,889,446,790,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
23	MGF STAT5	STAT5A	signal transducer and activator of transcription 5A	6776	downstream	17q11.2	37693090	37717484	1	437058	STA5A_HUMAN		NM_003152	NP_003143	10,817,928,114,701,300,000,000,000,000,000,000,000
24	GGF HGL HRG NDF ARIA GGF2 HRG1 HRGA SMDF MST131	NRG1	neuregulin 1	3084	putative	8p21-p12	32624285	32720285	1	453951	NRG1_HUMAN		NM_013959	NP_039253	955,307,875,467,388,000,000,000,000,000,000,000,000,000,000
25	HD3 RPD3 RPD3-2	HDAC3	histone deacetylase 3	8841	functional	5q31	140980626	140996596	-1	519632	HDAC3_HUMAN		NM_003883	NP_003874	1,245,958,010,512,850,000,000,000,000,000,000,000,000,000,000,000,000,000
26	GH GHN GH-N hGH-N IGHD1B	GH1	growth hormone 1	2688	mammal	17q24.2	59348294	59349930	-1	655229	SOMA_HUMAN	HS_GH1	NM_000515	NP_000506	11487592,12915652,11994335,8944679,14647066,14659590,14583653,2355952,12692087,12630074,12610294,12471175,12393957,12057928,12044358,11983714,10905380,11855684,12955026,12663691,15295107,11133160,15308771,14751587,14871929,15036422,15342923,8612101,15536017,15339240,15664625,15718052,15699523,15790724,15579798,15596027,15621211,15708445,15919742,15771611,8670892,10522985,15963853,9180082,16024298,16129095,15985475,15956085,16524678,15464751,10654626,11283314,10084571,8350664,16682650,16799137,16760634,11742825,17183314,17173483,9630227,17326724,18434714,12011468,9045866
27	ILRA CD127 IL7RA CDW127 IL-7R-alpha	IL7R	interleukin 7 receptor	3575	putative	5p13	35892747	35912678	1	591742	IL7RA_HUMAN		NM_002185	NP_002176	9,495,344,869,296,470,000,000,000,000,000,000,000
28	IGFI IGF-I IGF1A	IGF1	insulin-like growth factor 1 (somatomedin C)	3479	functional	12q22-q23	101292143	101376791	-1	160562	IGF1B_HUMAN		NM_000618	NP_000609	12933651,12169020,12843179,10873623,11213276,11213270,8402902,12049864,12692087,12652183,12630074,12610294,12393957,12057928,12044358,12014835,11983714,10385438,11855684,14645858,14602984,14580857,12900169,12882326,12882324,12845331,12714272,11381260,10077613,12865482,12663691,12750521,9353126,11175789,8402901,9861016,9593409,15295107,11133160,15308771,14871929,15247062,14745968,15190176,15036422,15342923,14726476,8612101,11106682,15192154,15621205,15621218,15536017,15339240,15288688,15456908,15664625,15718052,10022403,15790724,12559758,15205477,15888324,15579798,15596027,15621211,15919742,15637588,15771611,15820683,15708981,15272020,16123266,9180082,16024298,16123158,16164423,16129095,15985475,15956085,16269543,16288288,16439206,11172010,16524678,16293644,16298247,16170353,16631584,16682650,16631585,15956778,16760634,16890541,16505167,16652371,18054318,17183314,17173483,9630227,11586954,17973971,18316725,10752709,17373631,17326724,21799924,19896963,3197646,20610588,19103645,19619420,20351075,18762812,18434714,22733568,7664676,20946987,22021391,16625210,9045866
29	IGF-II PP9974 C11orf43	IGF2	insulin-like growth factor 2 (somatomedin A)	3481	functional	11p15.5	2110531	2116578	-1	523414	IGF2_HUMAN	HS_IGF2_4	NM_000612	NP_000603	12,630,074,887,621,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
30	ILPR IRDN IDDM2 MODY10	INS	insulin	3630	functional	11p15.5	2137584	2139000	-1	654579	INS_HUMAN	HS_INS	NM_000207	NP_000198	12933651,12169020,12543978,10873623,12610294,11927387,14645858,11738155,14618027,14580857,12955025,12900169,12882326,12882324,12845331,12750520,10066179,11381260,10077613,11818964,12750521,9353126,12447443,9888854,11274053,12032158,15175753,15295107,10747954,15190176,15342923,14747284,12023258,11106682,15192154,15565107,15621218,15288688,12559758,15205477,15919793,15888324,15637588,15771611,15820683,15708981,15272020,12530968,16098828,16123266,16098826,11440717,16164423,16269543,16288288,11160162,16443777,16524678,16366736,15546000,11443193,11016890,16631584,16682650,16631585,16611697,16890541,12908874,16505167,17173483,18443001,17908559,17928362,17652964,19619420,21873205,20946987,18223156,16625210,15685173,12219087,16282554
31	NGFB HSAN5 Beta-NGF	NGF	nerve growth factor (beta polypeptide)	4803	putative	1p13.1	115540580	115592899	-1	2561	NGF_HUMAN		NM_002506	NP_002497	10,485,922,846,383,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
32	HIRS-1	IRS1	insulin receptor substrate 1	3667	model	2q36	227425442	227489980	-1	471508	IRS1_HUMAN		NM_005544	NP_005535	128,431,791,129,287,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
33	PTP1B	PTPN1	protein tyrosine phosphatase, non-receptor type 1	5770	downstream	20q13.1-q1	48560297	48634491	1	417549	PTN1_HUMAN		NM_002827	NP_002818	1,006,617,912,802,330,000,000,000,000,000,000,000,000
34	IRS-2	IRS2	insulin receptor substrate 2	8660	model,putative	13q34	109204186	109236915	-1	442344	IRS2_HUMAN		NM_003749	NP_003740	1,129,287,411,927,380,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
35	AKT PKB RAC CWS6 PRKBA PKB-ALPHA RAC-ALPHA	AKT1	v-akt murine thymoma viral oncogene homolog 1	207	model,cell	14q32.32	104306752	104330608	-1	525622	AKT1_HUMAN		NM_005163	NP_005154	15767565,11154281,11884591,12719720,11277998,11381260,11544177,12237475,11257494,9005851,10485710,10485711,11607034,12039436,12044943,9716402,9020362,15295107,14871929,15383658,14985531,14726476,15718052,15780592,15860463,15888324,12530968,16123266,16186101,15930121,16288288,12110585,10364160,16170353,14713953,16631584,16675393,16914869,12908874,16505167,21901288,15843522,23935948,18223156,21157483,21474066,15084260,12782654,15492215,10051603
36	PI3K PIK3C1 P110BETA PI3KBETA	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	5291	model,downstream	3q22.3	139856928	139960883	-1	239818	PK3CB_HUMAN		NM_006219	NP_006210	128,431,791,115,428,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
37	CD271 p75NTR TNFRSF16 p75(NTR) Gp80-LNGFR	NGFR	nerve growth factor receptor (TNFR superfamily, member 16)	4804	downstream	17q21-q22	44927665	44947360	1	415768	TNR16_HUMAN		NM_002507	NP_002498	21,693,902,166,241,100,000,000,000,000,000,000
38	CTLO HAMSV HRAS1 K-RAS N-RAS RASH1 C-H-RAS H-RASIDX C-BAS/HAS C-HA-RAS1	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265	model,cell	11p15.5	522242	525550	1	37003	RASH_HUMAN	HS_HRAS_3	NM_005343	NP_005334	###############################################################################################################################################################################################################################################################
39	MRTL MYCC c-Myc bHLHe39	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	4609	cell,upstream	8q24.12-q2	128817685	128822853	1	202453	MYC_HUMAN	HS_MYC_2	NM_002467	NP_002458	151,173,012,842,909,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
40	ERBB HER1 mENA ERBB1 PIG61	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	1956	downstream	7p12	54860933	55049239	1	488293	EGFR_HUMAN	HS_EGFR_2	NM_005228	NP_005219	12,885,591,955,307,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
41	NEU NGL HER2 TKR1 CD340 HER-2 MLN 19 HER-2/neu	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	2064	downstream	17q11.2-q1	35109921	35138436	1	446352	ERBB2_HUMAN	HS_ERBB2_2	NM_004448	NP_004439	9,553,078,754,673,880,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
42	HHF5 CD220	INSR	insulin receptor	3643	model	19p13.3-p1	7067637	7245011	-1	465744	INSR_HUMAN		NM_000208	NP_000199	12543978,11292875,11021802,11242085,8247153,11927387,10066179,12882356,9252323,12447443,14698816,9716402,10428762,11274053,15175753,15295107,10025399,15190176,15342923,15466429,15582274,15565107,15253933,15888324,12530968,16123266,16099946,16524678,2544998,16631585,12908874,9789046,18001293
43	N-CoR TRAC1 N-CoR1 hN-CoR	NCOR1	nuclear receptor co-repressor 1	9611	downstream	17p11.2	15875983	16059570	-1	462323	NCOR1_HUMAN		NM_006311	NP_006302	124,103,131,103,061,000,000,000,000,000,000,000,000,000,000,000
44	ATV NBS P95 NBS1 AT-V1 AT-V2	NBN	nibrin	4683	functional,putative	8q21	91014888	91066072	-1	492208	NBN_HUMAN		NM_002485	NP_002476	9,590,181,110,899,840,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
45	AP-1	JUND	jun D proto-oncogene	3727	mammal,putative	19p13.2	18251569	18253468	-1	2780	JUND_HUMAN		NM_005354	NP_005345	10,978,675,117,056,300,000,000,000,000,000,000,000,000,000,000,000,000,000
46	IL-2 TCGF lymphokine	IL2	interleukin 2	3558	putative	4q26-q27	123730232	123735485	-1	89679	IL2_HUMAN	HS_IL2	NM_000586	NP_000577	12,633,940,234,253,800,000,000,000,000,000,000,000,000,000,000,000,000
47	SIS SSV IBGC5 PDGF2 c-sis PDGF-2	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	5155	upstream	22q12.3-q1	37944218	37965490	-1	1976	PDGFB_HUMAN	HS_PDGFB	NM_002608	NP_002599	10,485,711,118,279,200,000,000,000,000,000,000,000,000,000,000,000,000
48	URG HOMG4	EGF	epidermal growth factor (beta-urogastrone)	1950	upstream	4q25	111191653	111291023	1	419815	EGF_HUMAN		NM_001963	NP_001954	1,058,050,412,885,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
49	P64 CIDX IMD4 CD132 SCIDX IL-2RG SCIDX1	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	3561	downstream	Xq13.1	70110279	70114424	-1	84	IL2RG_HUMAN	HS_IL2RG	NM_000206	NP_000197	1,084,047,410,417,270
50	p55 AP-1 C-FOS	FOS	FBJ murine osteosarcoma viral oncogene homolog	2353	putative	14q24.3	74815283	74818666	1	25647	FOS_HUMAN	HS_FOS	NM_005252	NP_005243	151,173,076,848,311,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
51	IMF1 IBGC4 JTK12 PDGFR CD140B PDGFR1 PDGFR-1	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	5159	downstream	5q31-q32	149473595	149515503	-1	509067	PGFRB_HUMAN		NM_002609	NP_002600	1,266,888,811,385,620,000,000,000,000,000
52	EPO-R	EPOR	erythropoietin receptor	2057	downstream	19p13.3-p1	11349474	11356019	-1	631624	EPOR_HUMAN		NM_000121	NP_000112	13,245,249,435,635,100,000,000,000,000,000,000,000
53	SMST	SST	somatostatin	6750	upstream	3q28	188869406	188870808	-1	12409	SMS_HUMAN	HS_SST	NM_001048	NP_001039	123,927,951,049,953,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
54	MAY1 PKCD nPKC-delta	PRKCD	protein kinase C, delta	5580	downstream	3p21.31	53170262	53201771	1	155342	KPCD_HUMAN		NM_006254	NP_006245	10,381,525,119,766,800,000,000,000,000,000
55	PPAR NR1C1 hPPAR PPARalpha	PPARA	peroxisome proliferator-activated receptor alpha	5465	putative	22q12-q13	44867017	44958329	1	103110	PPARA_HUMAN		NM_005036	NP_005027	973,904,210,839,530,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
56	PTC MTC1 HSCR1 MEN2A MEN2B RET51 CDHF12 CDHR16 RET-ELE1	RET	ret proto-oncogene	5979	downstream	10q11.2	42892517	42945799	1	350321	RET_HUMAN		NM_020975	NP_066124	103,982,938,872,055,000,000,000,000,000
57	FCAS3 APLAID	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	5336	downstream	16q24.1	80370430	80549399	1	413111	PLCG2_HUMAN		NM_002661	NP_002652	124,379,261,064,796,000,000,000,000,000,000,000,000,000,000
58	PXR1 PBD2A PBD2B PTS1R PTS1-BP	PEX5	peroxisomal biogenesis factor 5	5830	functional	12p13.3	7234223	7255342	1	567327	PEX5_HUMAN		NM_000319	NP_000310	124,759,497,719,337,000,000,000,000,000
59	E2A E47 ITF1 VDIR TCF-3 bHLHb21	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	6929	putative	19p13.3	1560294	1601277	-1	371282	TFE2_HUMAN		NM_003200	NP_003191	8,001,125,127,142,410,000,000,000,000,000,000,000,000,000,000,000,000,000
60	PARP PPOL ADPRT ARTD1 ADPRT1 PARP-1 ADPRT 1 pADPRT-1	PARP1	poly (ADP-ribose) polymerase 1	142	functional,putative	1q41-q42	222855240	222902526	-1	177766	PARP1_HUMAN	HS_ADPRT	NM_001618	NP_001609	1465394,15855340,10471503,9312059,14612404,12470832,11906946,11707919,11121685,11016956,9587069,10077636,12543974,12114629,2559326,9325154,14734561,15044383,12526788,15292449,15336909,12605957,15545322,17913748,15590998,15205477,16141234,15895395,16140981,16107709,16302026,16207712,16628003,20832105,21680843,18835851,19139632,20231360,3103132,22753495
61	IRIS PSCP BRCAI BRCC1 PNCA4 RNF53 BROVCA1 PPP1R53	BRCA1	breast cancer 1, early onset	672	mammal	17q21	38449843	38530934	-1	194143	BRCA1_HUMAN		NM_007294	NP_009225	###############################################################################################################################################################################################################################################################
62	DOD UBL5	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	5300	upstream	19p13	9807012	9821356	1	465849	PIN1_HUMAN	HS_PIN1	NM_006221	NP_006212	12,891,359,118,052,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
63	BZS DEC CWS1 GLM2 MHAM TEP1 MMAC1 PTEN1 10q23del	PTEN	phosphatase and tensin homolog	5728	model	10q23.3	89613174	89716382	1	500466	PTEN_HUMAN		NM_000314	NP_000305	1,020,909,893,531,770,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
64	CBP RSTS KAT3A	CREBBP	CREB binding protein	1387	upstream	16p13.3	3716569	3870712	-1	459759	CBP_HUMAN		NM_004380	NP_004371	1,252,434,111,867,640,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
65	HIF1 MOP1 PASD8 HIF-1A bHLHe78 HIF-1alpha HIF1-ALPHA	HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3091	functional,downstream	14q21-q24	61231991	61284729	1	597216	HIF1A_HUMAN	HS_HIF1A	NM_001530	NP_001521	124,708,961,088,271,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
66		UBB	ubiquitin B	7314	putative	17p12-p11.	16225091	16226779	1	356190	UBIQ_HUMAN	HS_UBB	NM_018955	NP_061828	1,112,443,612,016,290,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
67	HSSB RF-A RP-A REPA1 RPA70 MST075	RPA1	replication protein A1, 70kDa	6117	upstream	17p13.3	1680094	1748119	1	461925	RFA1_HUMAN		NM_002945	NP_002936	113,486,591,037,343,000,000,000,000,000,000,000,000
68	BS RECQ2 RECQL2 RECQL3	BLM	Bloom syndrome, RecQ helicase-like	641	functional	15q26.1	89061605	89159601	1	169348	BLM_HUMAN		NM_000057	NP_000048	121,813,139,808,625,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
69	Bcl-2 PPP1R50	BCL2	B-cell CLL/lymphoma 2	596	functional	18q21.33	58941558	59136910	-1	150749	BCL2_HUMAN	HS_BCL2_2	NM_000633	NP_000624	9989825,12462383,9315450,8090743,8170972,8692941,11226431,9102310,8358790,9228005,12161751,10656180,9288026,15013668,15295107,12218115,8235659,15489059,15618488,15897889,15911345,16139996,7472523,16198025,16367931,16567372,7946326,16288037,17973971,22343142,16026332
70	NEF S100 S100-B S100beta	S100B	S100 calcium binding protein B	6285	upstream,putative	21q22.3	46842958	46849424	-1	422181	S100B_HUMAN	HS_S100B	NM_006272	NP_006263	1,296,076,611,578,770,000,000,000,000,000,000,000,000,000,000,000,000,000
